ObjectID            RA                  DEC                 z_match             Imag                Imag_error          Classification
122205              189.34762573        62.33359528         1.6676              25.369              0.051               1                   
122271              189.36231995        62.33336639         1.6626              25.911              0.064               1                   
122327              189.38122559        62.33377457         1.6067              25.327              0.044               1                   
122366              189.38711548        62.33369827         2.8004              25.284              0.042               1                   
122388              189.39599609        62.33396149         1.6535              25.439              0.044               1                   
122460              189.387146          62.33390045         1.808               25.625              0.053               1                   
122731              189.35302734        62.33501434         1.6314              25.338              0.049               1                   
122798              189.3601532         62.33515549         3.236               25.819              0.066               1                   
123048              189.32278442        62.33556747         2.4657              25.613              0.054               1                   
123061              189.31236267        62.33570862         1.7145              25.296              0.049               1                   
123121              189.34268188        62.33687973         2.13146             24.605              0.035               1                   
123265              189.33984375        62.33634567         2.8836              24.699              0.029               1                   
123406              189.34490967        62.33769226         1.72918             24.286              0.022               1                   
123508              189.44444275        62.33767319         1.811               25.849              0.072               1                   
123636              189.39944458        62.33693314         3.125               25.912              0.052               1                   
123649              189.37490845        62.33728409         2.5282              25.896              0.068               1                   
123717              189.41186523        62.33781052         3.038               25.573              0.059               1                   
123899              189.36181641        62.33816147         2.1701              25.537              0.053               1                   
124210              189.4200592         62.34009171         1.5965              25.174              0.043               1                   
124254              189.33453369        62.33907318         1.8426              24.694              0.031               1                   
124282              189.34257507        62.33870316         3.8037              25.892              0.053               1                   
124464              189.41586304        62.33995056         3.6862              25.328              0.047               1                   
124544              189.41636658        62.33941269         3.1969              25.761              0.053               1                   
124556              189.38821411        62.33985901         1.5994              25.441              0.048               1                   
124606              189.34776306        62.34015656         1.7361              25.566              0.058               1                   
124618              189.36030579        62.34074402         2.365               24.801              0.039               1                   
124670              189.38032532        62.33999252         3.0713              25.708              0.057               1                   
124705              189.41819763        62.34004593         1.5932              25.93               0.058               1                   
124806              189.36030579        62.34074402         2.365               25.023              0.044               1                   
124957              189.34408569        62.34082794         1.672               25.551              0.045               1                   
125033              189.34284973        62.34418488         1.98321             23.822              0.02                1                   
125176              189.41461182        62.34396744         2.3975              23.532              0.03                1                   
125271              189.31159973        62.34225464         1.7418              25.006              0.034               1                   
125374              189.31184387        62.34240723         1.6531              24.873              0.031               1                   
125382              189.401474          62.34292221         1.835               24.651              0.035               1                   
125437              189.401474          62.34292221         1.835               25.034              0.038               1                   
125546              189.39857483        62.34275818         1.7284              25.573              0.046               1                   
125764              189.38024902        62.34349823         1.724               25.535              0.043               1                   
125828              189.33854675        62.34402847         2.08022             25.144              0.038               1                   
125963              189.4135437         62.34989929         2.5423              20.5                0.003               1                   
125973              189.36886597        62.3447876          1.63399             23.936              0.021               1                   
126041              189.37680054        62.34440994         3.1547              25.691              0.058               1                   
126082              189.41845703        62.34453583         2.2121              25.37               0.041               1                   
126217              189.36187744        62.34526825         3.1449              24.788              0.034               1                   
126225              189.36973572        62.34515381         2.432               25.37               0.048               1                   
126505              189.35986328        62.34627533         1.92999             24.512              0.031               1                   
126643              189.41311646        62.34580994         2.6061              25.205              0.047               1                   
126852              189.41424561        62.34664917         2.6066              24.803              0.032               1                   
126907              189.35690308        62.3466568          3.3474              25.652              0.052               1                   
126953              189.4120636         62.34671402         1.6435              24.291              0.022               1                   
127003              189.3558197         62.34669495         3.3436              25.801              0.056               1                   
127059              189.4120636         62.34671402         1.6435              25.291              0.038               1                   
127117              189.37696838        62.34717178         2.9659              25.435              0.044               1                   
127134              189.39582825        62.34730148         2.2163              25.422              0.05                1                   
127241              189.38468933        62.34859467         2.4349              25.082              0.036               1                   
127507              189.40597534        62.34796143         2.8503              25.577              0.044               1                   
127572              189.40829468        62.34833527         3.3005              25.579              0.048               1                   
127888              189.37858582        62.34938431         2.805               25.261              0.042               1                   
127962              189.35028076        62.34993362         1.6936              25.879              0.076               1                   
127992              189.35168457        62.34955597         1.8984              25.42               0.045               1                   
128019              189.35165405        62.35035324         1.80107             24.937              0.042               1                   
128714              189.34777832        62.35147858         1.5493              25.686              0.058               1                   
129540              189.337677          62.35348511         2.6184              25.096              0.039               1                   
28198               189.1789856         62.16598511         3.2207              25.887              0.055               1                   
28475               189.15130615        62.16721344         1.9368              25.88               0.062               1                   
28891               189.16401672        62.16850281         2.3516              23.59               0.017               1                   
29167               189.16265869        62.16776657         2.28544             24.855              0.033               1                   
30266               189.2008667         62.16978073         2.8429              25.339              0.06                1                   
30434               189.19558716        62.1703186          1.7694              24.985              0.05                1                   
30547               189.19563293        62.16962814         1.7121              25.651              0.054               1                   
30882               189.19218445        62.17011261         1.6656              25.458              0.049               1                   
31567               189.20608521        62.1717186          3.1605              24.942              0.044               1                   
32540               189.18614197        62.17609024         3.24185             23.742              0.022               1                   
32590               189.2076416         62.17301178         1.7873              25.476              0.048               1                   
32830               189.19813538        62.17327881         3.2066              25.292              0.049               1                   
32849               189.19813538        62.17327881         3.2066              25.879              0.064               1                   
33351               189.15032959        62.17497253         2.29037             24.099              0.02                1                   
33710               189.19949341        62.17551804         3.0552              24.52               0.038               1                   
35205               189.15391541        62.17889023         3.1578              24.465              0.028               1                   
35369               189.18875122        62.17734528         3.4602              25.534              0.052               1                   
35816               189.1809082         62.17848206         1.737               25.416              0.043               1                   
36000               189.14518738        62.17884064         2.9412              25.127              0.042               1                   
36223               189.14468384        62.17880249         1.99217             25.557              0.068               1                   
36327               189.2177124         62.1794548          1.97576             24.768              0.032               1                   
36373               189.17970276        62.17910385         3.4925              25.464              0.051               1                   
36411               189.14154053        62.1794281          1.57024             24.729              0.039               1                   
36664               189.15675354        62.1798439          2.658               24.102              0.02                1                   
36865               189.20889282        62.18022156         1.74697             24.166              0.023               1                   
36899               189.21577454        62.17998505         2.3401              25.777              0.071               1                   
36923               189.20274353        62.17988968         2.3177              25.656              0.052               1                   
37107               189.2028656         62.18014145         3.0182              25.733              0.049               1                   
37226               189.22128296        62.18127441         1.57153             23.881              0.02                1                   
37591               189.19865417        62.18144989         2.943               24.366              0.025               1                   
37595               189.21670532        62.18188858         1.67246             23.579              0.015               1                   
37601               189.14440918        62.18104553         1.7501              25.984              0.078               1                   
37723               189.15779114        62.18151093         1.9247              25.473              0.054               1                   
37775               189.16029358        62.18144226         1.8432              25.727              0.055               1                   
37958               189.17280579        62.1820755          2.25437             24.445              0.023               1                   
38141               189.16291809        62.18232727         3.6931              25.605              0.057               1                   
38167               189.14723206        62.18199158         1.8472              25.752              0.056               1                   
38229               189.15951538        62.18371964         1.81792             25.306              0.057               1                   
38612               189.15653992        62.18493271         1.65515             23.389              0.021               1                   
38666               189.14385986        62.18284988         2.4568              25.909              0.064               1                   
38819               189.1953125         62.18312073         3.382               25.007              0.034               1                   
39160               189.22024536        62.18343353         2.2714              25.72               0.05                1                   
39328               189.15711975        62.18514252         1.5637              24.29               0.03                1                   
39429               189.14419556        62.18507385         2.0351              24.998              0.048               1                   
39466               189.17953491        62.18571854         3.23                22.968              0.012               1                   
39711               189.15203857        62.18494797         1.6384              25.386              0.044               1                   
39768               189.21160889        62.18479919         1.8137              24.675              0.032               1                   
39946               189.21160889        62.18479919         1.8137              25.638              0.05                1                   
39985               189.19920349        62.18510437         2.2666              24.374              0.023               1                   
39989               189.22192383        62.18513107         2.33009             25.359              0.051               1                   
40115               189.17433167        62.18529129         3.0528              24.533              0.024               1                   
40244               189.14190674        62.1859169          1.97874             24.256              0.025               1                   
40313               189.15835571        62.18556213         1.7153              25.48               0.045               1                   
40555               189.21183777        62.18618011         1.70472             24.999              0.037               1                   
40628               189.22116089        62.18607712         2.3542              25.877              0.065               1                   
40646               189.20603943        62.18603516         2.9184              25.398              0.053               1                   
40848               189.207901          62.18650055         2.3394              24.887              0.029               1                   
40963               189.24150085        62.18642807         1.6853              25.74               0.056               1                   
41274               189.14201355        62.18737793         2.8325              25.404              0.047               1                   
41378               189.21618652        62.18718338         1.58442             25.13               0.038               1                   
41445               189.17192078        62.18767929         2.05873             24.495              0.025               1                   
41525               189.16157532        62.18849564         1.67246             24.425              0.031               1                   
41552               189.17823792        62.18748474         1.5835              25.904              0.066               1                   
41591               189.20124817        62.18791199         3.1967              24.928              0.037               1                   
41656               189.19270325        62.18903351         1.6673              24.931              0.05                1                   
41817               189.13372803        62.18810272         1.5407              25.725              0.087               1                   
41953               189.13430786        62.18836212         1.5912              25.328              0.05                1                   
42002               189.13371277        62.18846512         1.5804              25.194              0.043               1                   
42073               189.18441772        62.18821335         3.2099              25.894              0.062               1                   
42129               189.23406982        62.18935013         1.56767             25.062              0.04                1                   
42164               189.21180725        62.18841934         2.9332              25.277              0.041               1                   
42286               189.21360779        62.1888504          2.33176             24.584              0.027               1                   
42385               189.18247986        62.18889236         3.397               25.524              0.052               1                   
